# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Is there life on Mars?;Science doesn't know this yet%true|Certainly. The red UFO is from Mars. And green is from Venus%false|Absolutely not%false
How should resources be loaded form jar in Java?;ClassLoader#geResourceAsStream or ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Which option is a good way to handle the exception?;@SneakyThrow%false|e.printStackTrace()%false|Rethrow with wrapping in business exception (for example, QuestionReadException)%true|Ignoring exception%false
What is the main purpose of Spring Framework?;Dependency Injection and Inversion of Control%true|To make code more complicated%false|For writing XML configurations only%false|To replace Java language%false
Which annotation is used to create a Spring Bean?;@Component%true|@Bean%true|@Entity%false|@Service%true|@Controller%true
What is the difference between @Autowired and @Resource?;@Autowired is Spring-specific, @Resource is Java EE standard%true|@Resource is Spring-specific, @Autowired is Java EE standard%false|They are identical and interchangeable%false
What is JPA?;Java Persistence API - specification for object-relational mapping%true|Java Programming Application%false|Just Another Persistence Abstraction%false|JSON Processing API%false
Which interface is the root of Spring Data JPA?;JpaRepository%true|CrudRepository%true|PagingAndSortingRepository%true|ListRepository%false
What is the purpose of @Transactional annotation?;To define transaction boundaries%true|To mark a method as important%false|To create database tables%false|To improve method performance%false
What is the difference between GET and POST HTTP methods?;GET is safe and idempotent, POST is not%true|POST is safe and idempotent, GET is not%false|They are identical%false|GET has request body, POST doesn't%false
What is REST?;Representational State Transfer - architectural style for web services%true|Really Excellent System Technology%false|Remote Execution Service Template%false|Rapid Enterprise Solution Tool%false
Which Spring annotation is used for REST controllers?;@RestController%true|@Controller%false|@Service%false|@Repository%false
What is the purpose of @Value annotation?;To inject values from properties files%true|To set default values for methods%false|To validate input parameters%false|To mark valuable classes%false
What is Maven?;Build automation tool and dependency management%true|Programming language%false|Database management system%false|Testing framework%false
What is the difference between @Mock and @InjectMocks?;@Mock creates mock object, @InjectMocks injects mocks into tested object%true|@InjectMocks creates mock object, @Mock injects dependencies%false|They are identical%false|@Mock is for unit tests, @InjectMocks for integration tests%false
What is the purpose of Lombok library?;To reduce boilerplate code with annotations%true|To improve database performance%false|To create web interfaces%false|To handle exceptions%false
Which Lombok annotation generates getters?;@Getter%true|@Getters%false|@GenerateGetter%false|@Data%true
What is Docker?;Containerization platform%true|Programming language%false|Database system%false|Cloud provider%false
What is the difference between JVM and JRE?;JVM executes bytecode, JRE is runtime environment%true|JRE executes bytecode, JVM is runtime environment%false|They are identical%false|JVM is for development, JRE for production%false
What is polymorphism in OOP?;Ability of objects to take many forms%true|Using multiple inheritance%false|Creating many classes%false|Writing complex algorithms%false
